order_id,order_date,customer_id,customer_name,email,age,gender,city,state,country,product_id,product_category,product_name,price,quantity,discount_pct,discount_value,shipping_cost,cost_of_goods_sold,revenue,profit,payment_method,marketing_channel,campaign,utm_source,device,returning_customer,days_since_last_order,order_status,delivery_time_days,acquisition_cost,customer_lifetime_value,churn_risk_score,propensity_to_buy,coupon_code,refund_flag
O5119,2024-10-15 00:56:32,C1225,Lucas Carvalho,lucas.carvalho225@example.com,68,M,Florianópolis,SC,Brazil,P2003,Electronics,Bluetooth Speaker,120.28,2,0.0,0.0,18.0,153.96,258.56,68.6,Debit Card,Social (Instagram),New Launch,social,Mobile,False,,Delivered,4,12.97,430.66,0.42,0.31,,False
O5102,2024-10-15 09:02:02,C1573,Thiago Gomes,thiago.gomes573@example.com,18,F,Florianópolis,RS,Brazil,P2015,Beauty,Facial Cleanser,283.3,1,0.0,0.0,5.0,184.14,288.3,94.16,Pix,Organic Search,New Launch,organic,Mobile,True,161.0,Delivered,2,37.25,153.13,0.93,0.43,,False
O5874,2024-10-15 18:18:58,C1043,Pedro Nascimento,pedro.nascimento43@example.com,55,M,Belo Horizonte,BA,Brazil,P2016,Beauty,Sunscreen,335.99,3,0.0,0.0,12.5,564.46,1020.47,431.01,Boleto,Affiliate,Awareness,affiliate,Tablet,True,293.0,Returned,2,22.85,187.09,0.3,0.72,,True
O5031,2024-10-15 20:53:45,C1036,Bruno Rodrigues,bruno.rodrigues36@example.com,22,M,Fortaleza,DF,Brazil,P2024,Sports,Fitness Tracker,201.01,2,0.0,0.0,5.0,213.07,407.02,183.95,Pix,Paid Search,Summer Sale,google,Desktop,True,57.0,Delivered,7,35.62,566.14,0.92,0.79,,False
O5640,2024-10-16 00:39:47,C1215,Felipe Carvalho,felipe.carvalho215@example.com,41,M,Belo Horizonte,BA,Brazil,P2009,Home,Kitchen Knife,214.64,3,0.0,0.0,9.9,412.11,653.82,221.91,PayPal,Social (Instagram),,social,Desktop,False,,Returned,5,37.9,175.13,0.98,0.71,,True
O5331,2024-10-16 07:31:07,C1275,Julia Pereira,julia.pereira275@example.com,60,F,Brasília,RJ,Brazil,P2002,Electronics,Portable Charger,281.78,2,0.0,0.0,9.9,343.77,573.46,209.89,Pix,Paid Search,Flash Sale,google,Desktop,True,226.0,Delivered,4,29.85,110.55,0.33,0.67,,False
O5395,2024-10-16 15:09:11,C1265,Eduardo Rodrigues,eduardo.rodrigues265@example.com,54,M,Brasília,BA,Brazil,P2003,Electronics,Bluetooth Speaker,120.28,3,0.0,0.0,25.0,230.94,385.84,104.9,Boleto,Email,,email,Mobile,False,,Delivered,5,23.37,465.14,0.4,0.89,,False
O5329,2024-10-16 22:20:29,C1429,Rafael Carvalho,rafael.carvalho429@example.com,36,M,Recife,BA,Brazil,P2010,Fashion,T-Shirt,278.93,1,0.0,0.0,0.0,172.94,278.93,105.99,PayPal,Organic Search,Abandoned Cart,organic,Mobile,False,,Pending,7,5.28,451.1,0.73,0.37,,False
O5436,2024-10-17 01:02:34,C1482,Thiago Silva,thiago.silva482@example.com,31,F,Belo Horizonte,RS,Brazil,P2005,Home,Ceramic Mug,396.7,2,0.0,0.0,18.0,515.71,811.4,259.69,PayPal,Direct,Flash Sale,direct,Desktop,False,,Delivered,2,24.87,427.54,0.52,0.93,,False
O5447,2024-10-17 05:45:46,C1442,Sofia Nascimento,sofia.nascimento442@example.com,43,M,Belo Horizonte,SC,Brazil,P2016,Beauty,Sunscreen,335.99,3,0.0,0.0,12.5,564.46,1020.47,431.01,Debit Card,Affiliate,,affiliate,Desktop,True,399.0,Returned,5,17.9,430.93,0.01,0.98,,True
O5506,2024-10-17 15:37:54,C1566,Laura Carvalho,laura.carvalho566@example.com,66,F,Fortaleza,SC,Brazil,P2018,Beauty,Lipstick,415.53,3,0.05,62.33,0.0,723.02,1184.26,461.24,Boleto,Organic Search,,organic,Desktop,False,,Delivered,10,10.03,345.7,0.01,0.48,CPN5,False
O5785,2024-10-18 00:24:36,C1570,Felipe Oliveira,felipe.oliveira570@example.com,32,M,Salvador,SP,Brazil,P2022,Sports,Dumbbell Set,212.64,2,0.0,0.0,9.9,255.17,435.18,160.21,Debit Card,Email,Flash Sale,email,Desktop,False,,Delivered,7,8.01,160.04,0.88,0.28,,False
O5429,2024-10-18 00:47:29,C1374,Felipe Santos,felipe.santos374@example.com,41,M,Rio de Janeiro,MG,Brazil,P2021,Sports,Running Shorts,304.91,1,0.05,15.25,12.5,201.24,302.16,75.92,Pix,Social (Facebook),,social,Mobile,False,,Delivered,3,41.6,388.86,0.22,0.27,CPN5,False
O5864,2024-10-18 08:06:50,C1427,Paula Costa,paula.costa427@example.com,43,M,Salvador,DF,Brazil,P2018,Beauty,Lipstick,415.53,2,0.0,0.0,9.9,482.01,840.96,339.15,PayPal,Affiliate,,affiliate,Mobile,False,,Delivered,3,45.72,484.17,0.61,0.73,,False
O5784,2024-10-18 16:09:51,C1318,Felipe Souza,felipe.souza318@example.com,56,M,Curitiba,BA,Brazil,P2017,Beauty,Perfume,44.78,1,0.0,0.0,9.9,22.39,54.68,12.49,Boleto,Direct,Awareness,direct,Mobile,False,,Cancelled,3,5.03,189.0,0.61,0.09,,True
O5776,2024-10-19 02:38:22,C1272,Felipe Oliveira,felipe.oliveira272@example.com,45,M,Salvador,RS,Brazil,P2001,Electronics,Smartphone Case,18.94,2,0.0,0.0,0.0,22.35,37.88,15.53,Pix,Email,Summer Sale,email,Mobile,True,195.0,Delivered,2,4.74,422.11,0.22,0.28,,False
O5077,2024-10-19 05:26:26,C1041,Sofia Ramos,sofia.ramos41@example.com,31,F,Porto Alegre,PE,Brazil,P2002,Electronics,Portable Charger,281.78,1,0.0,0.0,5.0,171.89,286.78,104.89,Boleto,Organic Search,Holiday Promo,organic,Desktop,False,,Delivered,7,42.76,420.98,0.2,0.44,,False
O5001,2024-10-19 09:48:38,C1232,Mateus Souza,mateus.souza232@example.com,29,M,Belo Horizonte,RS,Brazil,P2018,Beauty,Lipstick,415.53,2,0.0,0.0,0.0,482.01,831.06,349.05,Boleto,Paid Search,Flash Sale,google,Mobile,False,,Delivered,3,3.18,406.81,0.01,0.92,,False
