order_id,order_date,customer_id,product_id,quantity,price_x,discount_pct,discount_value,shipping_cost,cost_of_goods_sold,revenue,profit,payment_method,marketing_channel,campaign,order_status,delivery_time_days,churn_risk_score,propensity_to_buy,customer_name,email,age,gender,city,state,acquisition_cost,product_category,product_name,price_y,cost_of_goods_sold_pct
O5000,2025-06-08,C1495,P2000,1,203.97,0.1,20.4,12.5,130.54,196.07,40.53,Pix,Organic Search,Summer Sale,Delivered,3,0.5219530034785639,0.5889330749455641,Ana Souza,ana.souza495@example.com,31,Female,Fortaleza,BA,24.87,Electronics,Wireless Headphones,203.97,0.64
O5001,2025-07-15,C1083,P2024,1,201.01,0.05,10.05,12.5,106.54,203.46,71.92,PayPal,Affiliate,Summer Sale,Delivered,5,0.04499682123542437,0.7341512590416462,Sofia Nascimento,sofia.nascimento83@example.com,64,Female,Florianópolis,SC,6.85,Sports,Fitness Tracker,201.01,0.53
O5002,2025-02-16,C1004,P2013,1,373.0,0.05,18.65,12.5,268.56,366.85,73.29,Credit Card,Paid Search,,Delivered,2,0.886171294055993,0.45851856218701537,Daniel Silva,daniel.silva4@example.com,45,Male,Belo Horizonte,CE,24.4,Fashion,Backpack,373.0,0.72
O5003,2025-05-08,C1144,P2004,1,54.76,0.0,0.0,18.0,23.55,72.76,13.21,Pix,Social (Facebook),,Delivered,3,0.6803844137625221,0.2741203638192007,Camila Rodrigues,camila.rodrigues144@example.com,68,Male,São Paulo,CE,29.72,Electronics,Smartwatch,54.76,0.43
O5004,2025-08-12,C1129,P2010,1,278.93,0.0,0.0,9.9,172.94,288.83,96.09,Debit Card,Social (Instagram),Summer Sale,Delivered,3,0.7603282214041377,0.7224113844635446,Paula Lima,paula.lima129@example.com,39,Female,Salvador,CE,42.84,Fashion,T-Shirt,278.93,0.62
O5005,2024-10-17,C1449,P2004,1,54.76,0.0,0.0,18.0,23.55,72.76,13.21,Debit Card,Direct,,Delivered,5,0.45650885534153296,0.14943625851829423,Thiago Gomes,thiago.gomes449@example.com,25,Male,São Paulo,SC,41.42,Electronics,Smartwatch,54.76,0.43
O5006,2025-09-18,C1556,P2004,1,54.76,0.1,5.48,9.9,23.55,59.18,15.83,Credit Card,Social (Instagram),,Delivered,2,0.6063861169830528,0.6774633542399734,Beatriz Gomes,beatriz.gomes556@example.com,65,Female,Fortaleza,DF,16.17,Electronics,Smartwatch,54.76,0.43
O5007,2025-04-24,C1446,P2018,2,415.53,0.1,83.11,18.0,482.01,765.95,247.94,Debit Card,Affiliate,,Delivered,2,0.5175994650538077,0.1244342079467552,Felipe Almeida,felipe.almeida446@example.com,58,Female,Curitiba,SP,7.46,Beauty,Lipstick,415.53,0.58
O5008,2025-09-30,C1506,P2011,1,50.3,0.0,0.0,18.0,36.72,68.3,-4.42,Debit Card,Social (Instagram),Summer Sale,Delivered,2,0.07173173781490838,0.659869866829039,Eduardo Ramos,eduardo.ramos506@example.com,66,Female,Recife,MG,34.98,Fashion,Jeans,50.3,0.73
O5009,2025-03-21,C1354,P2008,3,122.69,0.0,0.0,5.0,139.87,373.07,223.2,PayPal,Email,Flash Sale,Delivered,3,0.16251564475711533,0.6741976228649297,Paula Rodrigues,paula.rodrigues354@example.com,48,Male,Rio de Janeiro,SC,46.55,Home,Cotton Bedsheet,122.69,0.38
O5010,2024-12-02,C1155,P2003,1,120.28,0.0,0.0,12.5,76.98,132.78,30.8,Credit Card,Organic Search,Summer Sale,Delivered,2,0.1740104480161242,0.76075930838695,Laura Barbosa,laura.barbosa155@example.com,60,Male,Porto Alegre,RS,3.11,Electronics,Bluetooth Speaker,120.28,0.64
O5011,2024-10-20,C1289,P2021,3,304.91,0.0,0.0,18.0,603.72,932.73,293.01,Boleto,Affiliate,,Delivered,2,0.2522231342306188,0.8107304652304127,Paula Costa,paula.costa289@example.com,43,Male,Rio de Janeiro,BA,41.06,Sports,Running Shorts,304.91,0.66
O5012,2025-09-24,C1340,P2024,1,201.01,0.0,0.0,5.0,106.54,206.01,89.47,Credit Card,Direct,,Delivered,10,0.415786062069183,0.6010826653932156,Sofia Pereira,sofia.pereira340@example.com,21,Male,Rio dp Janeiro,PE,31.48,Sports,Fitness Tracker,201.01,0.53
O5013,2025-06-30,C1122,P2005,1,396.7,0.05,19.84,12.5,257.86,389.36,106.5,Credit Card,Direct,Abandoned Cart,Delivered,4,0.010691990113501415,0.4392105109318746,Ana Barbosa,ana.barbosa122@example.com,31,Female,Florianópolis,PE,34.98,Home,Ceramic Mug,396.7,0.65
